,Christmas film titles
0,Will You Merry Me?
1,The Christmas Star 
2,The Christmas List
3,"It's Christmas, Carol!"
4,Christmas by medium
5,Northpole 
6,White Christmas 
7,Deck the Halls 
8,I'll Be Home for Christmas 
9,Pocketful of Miracles
10,How the Toys Saved Christmas
11,Six Weeks
12,The Nightmare Before Christmas
13,Trading Places
14,Special Delivery 
15,Batman Returns
16,It Happened on Fifth Avenue
17,The Snowman
18,Serendipity 
19,The Nutcracker and the Four Realms
20,Christmas in Canaan
21,Ms. Scrooge
22,The Nativity 
23,The Dog Who Saved Christmas
24,Christmas in the Highlands 
25,The Christmas Tree 
26,Santa Claus 
27,Three Days 
28,Bad Santa 2
29,The Man Who Invented Christmas 
30,"Bah, Humduck! A Looney Tunes Christmas"
31,Single Santa Seeks Mrs. Claus
32,Lethal Weapon
33,Last Christmas 
34,The Christmas Chronicles
35,A Very Merry Mix-Up
36,The Heart of Christmas
37,Melissa McCarthy
38,Roots: The Gift
39,Candy cane
40,Nutcracker: The Motion Picture
41,Christmas Cupid
42,Mickey's Once Upon a Christmas
43,Comfort and Joy 
44,Nothing like the Holidays
45,"Silent Night, Deadly Night"
46,Dr. Seuss' How the Grinch Stole Christmas 
47,Ziggy's Gift
48,Bugs Bunny's Christmas Carol
49,"Silent Night, Deadly Night Part 2"
50,Elf: Buddy's Musical Christmas
51,A Christmas Prince
52,Christmas in Wonderland
53,"Yes, Virginia, there is a Santa Claus"
54,The Waltons
55,The Holiday
56,Christmas a la Mode 
57,Exit Speed
58,Holiday Affair
59,Tom and Jerry: A Nutcracker Tale
60,Noel 
61,Jingle All the Way
62,Biblical Magi
63,The Family Stone
64,Home for the Holidays 
65,3615 code Père Noël
66,"Nestor, The Long-Eared Christmas Donkey"
67,Borrowed Hearts
68,Home Alone 4
69,A Christmas Wedding
70,A Dog Named Christmas
71,We're No Angels 
72,An Evergreen Christmas
73,"Merry Christmas, Mr. Lawrence"
74,Barbie in the Nutcracker
75,An American Christmas Carol
76,The Night Before 
77,Christmas with a Capital C
78,VeggieTales
79,Elf 
80,"Olive, the Other Reindeer"
81,A Bad Moms Christmas
82,My Santa 
83,Christmas in Connecticut
84,Father Christmas 
85,One Magic Christmas
86,Home Alone: The Holiday Heist
87,"Nativity 3: Dude, Where's My Donkey?"
88,The Ice Harvest
89,Rudolph the Red-Nosed Reindeer 
90,Hallaca
91,Jack Frost 
92,Winnie the Pooh: A Very Merry Pooh Year
93,The New Adventures of Heidi
94,A Nutcracker Christmas
95,Silver Bells 
96,All Through the House
97,Nilus the Sandman: The Boy Who Dreamed Christmas
98,Winnie the Pooh and Christmas Too
99,On the 2nd Day of Christmas
100,Snowglobe 
101,The Christmas Blessing
102,One Special Night
103,Fitzwilly
104,A Fairly Odd Christmas
105,The Little Drummer Boy 
106,A Christmas Snow
107,The Nutcracker Sweet  (page does not exist)
108,Bernard and the Genie
109,The Winter Stallion
110,The Bishop's Wife
111,The Man in the Santa Claus Suit
112,A Town Without Christmas
113,The Secret of the Nutcracker  (page does not exist)
114,Mary Christmas 
115,Gift Wrapped 
116,A Christmas Visitor
117,Christmas Caper
118,Carol 
119,Rent 
120,A Christmas Without Snow
121,Eloise at Christmastime
122,A Boyfriend for Christmas
123,Christmas with the Kranks
124,Annabelle's Wish
125,Anna and the Apocalypse
126,List of Christmas television specials
127,Lady in the Lake
128,Rudolph and Frosty's Christmas in July
129,Santa Claus and the Magic Drum
130,Elmo Saves Christmas
131,Mickey's Christmas Carol
132,Four Christmases
133,The Nutcracker Prince
134,Mickey's Twice Upon a Christmas
135,The Nuttiest Nutcracker
136,Observance of Christmas by country
137,Once Upon a Christmas 
138,Christmas Every Day
139,List of Christmas dishes
140,The Christmas Secret
141,Santa Baby 
142,Hogfather
143,The National Tree
144,Susan Slept Here
145,Elmo's Christmas Countdown
146,The Flight Before Christmas 
147,The Madagascar Penguins in a Christmas Caper
148,Period of Adjustment 
149,The Night Before the Night Before Christmas
150,Blue Christmas 
151,Love Actually
152,The Christmas Box
153,Must Be Santa
154,Samantha: An American Girl Holiday
155,Super Sleuth Christmas Movie
156,National Lampoon's Christmas Vacation 2: Cousin Eddie's Island Adventure
157,Santa with Muscles
158,The Bells of St. Mary's
159,Cup of Cheer
160,A Child's Christmas in Wales
161,The Year Without a Santa Claus
162,Twice Upon a Christmas
163,Mr. St. Nick
164,Almost Christmas 
165,A Christmas Story 2
166,I'll Be Seeing You 
167,Ernest Saves Christmas
168,It's a Wonderful Life
169,Holly Hobbie
170,Miracle on 34th Street 
171,An All Dogs Christmas Carol
172,Kiss Kiss Bang Bang
173,"Good Luck Charlie, It's Christmas!"
174,Santa Buddies
175,The Great Rupert
176,A Christmas Prince: The Royal Wedding
177,The True Meaning of Christmas Specials
178,A Special Sesame Street Christmas
179,Pre-Christian Alpine traditions
180,Carol for Another Christmas
181,The Family Man
182,"Silent Night, Bloody Night"
183,The Christmas Candle
184,Why Him?
185,Scrooged
186,Christmas Lilies of the Field
187,The Christmas Consultant
188,The Christmas Note
189,A Dennis the Menace Christmas
190,A Christmas Story
191,Undercover Christmas
192,Mr. Soft Touch
193,Grumpy Cat's Worst Christmas Ever
194,Mixed Nuts
195,The Ref
196,Barbie in a Christmas Carol
197,Trancers
198,12 Dogs of Christmas: Great Puppy Rescue 
199,Home Alone
200,All I Want for Christmas 
201,Category:Christmas
202,Christmas Evil
203,Rudolph's Shiny New Year
204,Christmas Eve  (page does not exist)
205,Kung Fu Panda Holiday
206,The House Without a Christmas Tree
207,Template:List of Christmas films
208,Die Hard
209,Frosty the Snowman 
210,Naughty or Nice 
211,A Muppet Christmas: Letters to Santa
212,Catch a Christmas Star
213,The Gathering 
214,Gift of the Night Fury
215,While You Were Sleeping 
216,Wind Chill 
217,The Most Wonderful Time of the Year 
218,The Nutcracker and the Mouseking  (page does not exist)
219,His and Her Christmas
220,The Sure Thing
221,Beethoven's Christmas Adventure
222,Black Christmas 
223,Rudolph the Red-Nosed Reindeer and the Island of Misfit Toys
224,Scooby-Doo! Haunted Holidays
225,Christmas Comes to Willow Creek
226,The Dog Who Saved Christmas Vacation
227,A Christmas Horror Story
228,Booky and the Secret Santa
229,Holiday Affair 
230,Snow Wonder
231,Christmas Town
232,Fred Claus
233,To Grandmother's House We Go
234,Gremlins
235,The Holly and the Ivy 
236,Mrs. Santa Claus
237,National Lampoon's Christmas Vacation
238,"Christmas Miracle in Caufield, U.S.A."
239,Krampus 
240,It Happened One Christmas
241,Mickey's Good Deed
242,The Christmas Shoes 
243,Trapped in Paradise
244,Holiday in Handcuffs
245,Beauty and the Beast: The Enchanted Christmas
246,My Little Pony: A Very Minty Christmas
247,Picking Up & Dropping Off
248,Ebbie
249,Miracle on 34th Street
250,A Mom for Christmas
251,Call Me Claus
252,A Christmas Tree Miracle 
253,Karroll's Christmas
254,Surviving Christmas
255,When Angels Come to Town
256,Nutcracker Fantasy
257,Twas the Night Before Christmas 
258,Richie Rich's Christmas Wish
259,Don't Open till Christmas
260,A Doggone Christmas
261,A Holiday Romance
262,The Custom Mary
263,Stealing Christmas
264,The Christmas Cottage
265,I Saw Mommy Kissing Santa Claus 
266,Silent Night 
267,Once Upon a Christmas Miracle 
268,The Angel of Pennsylvania Avenue
269,Rare Exports: A Christmas Tale
270,12 Men of Christmas
271,Krampus Unleashed
272,The Swan Princess Christmas
273,Christmas with Holly
274,A Chance of Snow
275,A Madea Christmas 
276,Shelby 
277,The Christmas Kid
278,In the Nick of Time
279,A Garfield Christmas
280,The Best Christmas Pageant Ever
281,November Christmas
282,Krampus: The Reckoning
283,Santa Claus: The Movie
284,A Smoky Mountain Christmas
285,Nativity Rocks!
286,One Christmas
287,The Night They Saved Christmas
288,A Charlie Brown Christmas
289,The Christmas Toy
290,A Child's Christmases in Wales
291,The Lion in Winter 
292,12 Dog Days of Christmas 
293,Benji's Very Own Christmas Story
294,Template:Christmas
295,The Greatest Store in the World
296,Switched for Christmas 
297,Menudo 
298,The Lemon Drop Kid
299,The Grinch 
300,Bread sauce
301,Christmas Cruelty!
302,A Grandpa for Christmas
303,The Polar Express 
304,It's a Very Merry Muppet Christmas Movie
305,Christmas traditions
306,Christmas dinner
307,Home for Christmas 
308,A Christmas Memory
309,A Holiday to Remember
310,Better Watch Out
311,Snow 
312,How the Grinch Stole Christmas! 
313,Saving Christmas
314,Christmas Is Here Again
315,The Night Before Christmas 
316,The Road to Christmas
317,Love the Coopers
318,Bad Santa
319,Mr. Krueger's Christmas
320,Will Vinton's A Claymation Christmas Celebration
321,Mister Magoo's Christmas Carol
322,Santa Claus Is Comin' to Town 
323,Arthur Christmas
324,Advent Conspiracy
325,The Nutcracker 
326,Three Wise Guys
327,The Santa Clause 2
328,The Man Who Saved Christmas
329,Santa Who?
330,A Very Brady Christmas
331,12 Dates of Christmas
332,Just Friends
333,Ebenezer 
334,Joyeux Noël
335,Holidate
336,The Christmas Card
337,A Muppet Family Christmas
338,Reisen til julestjernen 
339,The Smurfs: A Christmas Carol
340,Care Bears Nutcracker Suite
341,Christmas ham
342,"Santa, Jr."
343,All Is Bright
344,A Chipmunk Christmas
345,A Diva's Christmas Carol
346,The Life & Adventures of Santa Claus 
347,Dear Secret Santa
348,A Golden Christmas
349,Christmas Eve 
350,The Preacher's Wife
351,Nativity! 
352,P2 
353,Santa Claus Conquers the Martians
354,Holly Hobbie and Friends: Christmas Wishes
355,The Night of the Hunter 
356,Saving Christmas 
357,Trail of Robin Hood
358,Christmas Eve on Sesame Street
359,The Sons of Mistletoe
360,A Christmas Kiss
361,Sint
362,Friday After Next
363,Barbie: A Perfect Christmas
364,Unlikely Angel
365,The Christmas Wish 
366,The Life and Adventures of Santa Claus 
367,Christmas gift-bringer
368,A Christmas Carol 
369,Female Trouble
370,Apple cider
371,Emmet Otter's Jug-Band Christmas
372,Shrek the Halls
373,Finding John Christmas
374,Hank Zipzer and the Christmas Catastrophe
375,Chasing Christmas
376,Look Who's Talking Now
377,Less Than Zero 
378,In Bruges
379,3 Godfathers
380,Santa's Slay
381,"Little Brother, Big Trouble: A Christmas Adventure"
382,'Twas the Night
383,The Christmas Miracle of Jonathan Toomey
384,The Search for Santa Paws
385,A Christmas to Remember 
386,Nativity 2: Danger in the Manger
387,Prancer 
388,My Night at Maud's
389,Christmas Do-Over
390,Rich Little's Christmas Carol
391,Jurassic World
392,Clarence 
393,Winnie the Pooh: Seasons of Giving
394,Snow 2: Brain Freeze
395,The Ultimate Christmas Present
396,The First Christmas: The Story of the First Christmas Snow
397,John Denver and the Muppets: A Christmas Together
398,A Miser Brothers' Christmas
399,A Season for Miracles
400,Scrooge 
401,A Merry Friggin' Christmas
402,Rocky IV
403,A Christmas Tale
404,Maggie's Christmas Miracle
405,Noelle 
406,Christmas Snow
407,List of Arthur episodes
408,Wishin' and Hopin' 
409,Trading Christmas
410,Christmas Icetastrophe
411,A Carol Christmas
412,Frosty Returns
413,The Monster's Christmas
414,Santa Baby 2: Christmas Maybe
415,The Christmas Heart
416,"Like Father, Like Santa"
417,Buster & Chauncey's Silent Night
418,This Christmas 
419,Mickey's Magical Christmas: Snowed in at the House of Mouse
420,Moonlight and Mistletoe
421,Die Hard 2
422,A Hobo's Christmas
423,Love You Like Christmas 
424,Babes in Toyland 
425,The Santa Clause 3: The Escape Clause
426,Christmas music
427,A Cosmic Christmas
428,Office Christmas Party
429,It Came Upon the Midnight Clear 
430,The Bear Who Slept Through Christmas
431,Christmas in Boston
432,The Muppet Christmas Carol
433,"Yes, Virginia "
434,Black Nativity 
435,If You Believe 
436,Alone for Christmas
437,Home Alone 2: Lost in New York
438,Casper's Haunted Christmas
439,Christmas at Water's Edge
440,The Santa Clause
