	description	price	prime?	rating	url link
15	"Apple MacBook Air Grigio Computer Portatile 33,8 cm (13.3"") 2560 x 1600 Pixel Intel® Core i3 di Decima Generazione 8 GB LPDDR4x-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) macOS Catalina MacBook"	no price available	not prime	4,6 su 5 stelle	No url Available
16	"Lenovo Legion Y540-15IRH Notebook Gaming, Display 15.6"" Full HD IPS, Processore Intel Core i7-9750HF, 256GB SSD + 1TB HDD, 2x8 GB RAM, Scheda Grafica NVIDIA GeForce RTX 2060, Nero (Raven Black)"	no price available	not prime	3,8 su 5 stelle	No url Available
17	Notebook Dell Latitude E5440 Core i5-4300U 8Gb 320Gb 14.1in DVDRW WEBCAM Windows 10 Professional (Ricondizionato)	439,99	not prime	4,5 su 5 stelle	/Notebook-Dell-Professional-Ricondizionato-Certificato/dp/B078HYHWF4?dchild=1
18	Seagate One Touch da 5 TB, unità disco esterna, argento, USB 3.0 per computer desktop, portatili e Mac, 1 anno a Mylio Create, 4 mesi al piano Adobe Creative Cloud Photography (STKC5000401)	no price available	not prime	no vote available	No url Available
19	Pc desktop intel i7 9700,Ram 16 Gb ddr4, Ssd m.2 256 Gb,Lettore masterizzatore, Windows 10 Pro, cpu 8 core, Computer i7,fisso assemblato cpu 4.70ghz in turbo, wifi desktop ssd completo	659,99	not prime	4,5 su 5 stelle	/desktop-Windows-assemblato-Computer-completo/dp/B0777M33QW?dchild=1
20	Lenovo - Computer portatile IdeaPad Slim HD grigio grigio 11''	no price available	not prime	4,1 su 5 stelle	No url Available
21	"Apple MacBook Pro 2.3GHz Intel Core i5 di settima generazione 13.3"" 2560 x 1600Pixel Grigio Computer portatile (Ricondizionato)"	999,00	not prime	4,4 su 5 stelle	/Apple-generazione-1600Pixel-portatile-Ricondizionato/dp/B078GX9R5W?dchild=1
22	"HP OMEN 17-cb1055ng Computer Portatile Nero 43,9 cm (17.3"") 1920 x 1080 Pixel Intel® Core i7 di Decima Generazione 16 GB DDR4-SDRAM 1512 GB HDD+SSD NVIDIA® GeForce RTX 2060 Wi-Fi 6 (802.11ax)"	1.805,80	prime	3,8 su 5 stelle	/HP-17-cb1055ng-Portatile-Generazione-DDR4-SDRAM/dp/B089361QBD?dchild=1
23	Jumper Mini PC, 4 GB DDR3 64 GB eMMC PC desktop Windows 10 - Mini computer 4k HD CPU Intel Celeron, connessione HDMI + VGA, USB 3.0 / dual band WLAN/Gigabit Ethernet / BT4.0	139,99	prime	4,2 su 5 stelle	/Jumper-Mini-DDR3-desktop-Windows/dp/B08G8K124T?dchild=1
24	COMPUTER FISSO INTEL CORE i7 QUAD CORE - RAM 16 GB - SSD 240 - HDD 1TB - SCHEDA VIDEO DEDICATA 4 GB - LICENZA ORIGINALE MICROSOFT WINDOWS 10 PRO - MASTERIZZATORE DVD - PC DESKTOP	579,00	prime	4,7 su 5 stelle	/COMPUTER-FISSO-INTEL-CORE-QUAD/dp/B088FX777X?dchild=1
25	"Acer Aspire 3 A315-56-582U Computer Portatile Nero 39,6 cm (15.6"") 1920 x 1080 Pixel Intel® Core i5 di Decima Generazione 8 GB DDR4-SDRAM 1000 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home"	882,39	prime	no vote available	/Acer-A315-56-582U-Portatile-Generazione-DDR4-SDRAM/dp/B0875CKBGH?dchild=1
26	Hard disk esterno portatile da 1 TB/2 TB - HDD esterno USB 3.0 per PC, Mac, laptop e Smart TV (2 TB, blu)	49,99	prime	1,0 su 5 stelle	/Hard-disk-esterno-portatile-TB/dp/B08JGFDL41?dchild=1
27	WisFox Set Tastiera e Mouse Senza Fili, 2.4GHz Silenzioso Slim Avanzato Combo Tastiera Mouse Wireless con Ricevitore Nano USB Tastiera Compatto per Tastiera e Mouse per Computer/PC/Laptop/Notebook	19,99	not prime	4,7 su 5 stelle	/WisFox-Tastiera-Silenzioso-Avanzato-Ricevitore/dp/B08688R247?dchild=1
28	"Notebook Pc Portatile Lenovo,Display da 15.6"",Cpu Amd A4 2.30GHz,Ram 8 Gb Ddr4,Ssd 256 Gb,Grafica Radeon R3, Hdmi,2x USB 3.0 ,Masterizzatore Dvd, Wi fi,Bluetooth,Open Office,Windows 10 professional"	no price available	not prime	4,6 su 5 stelle	No url Available
29	"ASUS VivoBook 15 S512JF-EJ029T Grigio 15.6"" FHD Intel® Core™ i5 di decima generazione 8 GB DDR4-SDRAM 512 GB SSD NVIDIA® GeForce® MX130 Wi-Fi 5 (802.11ac) Windows 10 Home tastiera retoilluminata"	899,00	not prime	no vote available	/ASUS-S512JF-EJ029T-generazione-DDR4-SDRAM-retoilluminata/dp/B08BJYVVCR?dchild=1
30	PC RICONDIZIONATO HP ELITE 8300 SFF INTEL CORE i7 3770 3,40Ghz/8GB/SSD 120GB/DVD/WIN 10 PRO (Ricondizionato) )	231,00	not prime	4,5 su 5 stelle	/RICONDIZIONATO-HP-ELITE-INTEL-Ricondizionato/dp/B07JNBKHSS?dchild=1
31	"MSI PRO 16 Flex 8GL-054EU Schermo Touch HD 15.6"",Intel Pentium Silver N4000.256GB M.2.4GB,Intel UHD Graphics 600 Series,Supporta la RJ45 a porta COM,VESA (STD 100 x 100 mm)"	424,99	prime	no vote available	/MSI-PRO-Flex-8GL-054EU-N4000-256GB/dp/B08CY3S367?dchild=1
32	Season 03	no price available	not prime	no vote available	No url Available
33	"Lenovo ThinkPad E15 Nero Computer Portatile 39,6 cm (15.6"") 1920 x 1080 Pixel Intel Core i7 di Decima Generazione 16 GB DDR4-SDRAM 512 GB SSD Windows 10 PRO ThinkPad E15, Intel Core, Tastiera QWERTZ"	no price available	not prime	5,0 su 5 stelle	No url Available
34	Inateck Custodia PC 15-15.6 Pollici Borsa per Laptop Chromebook, Notebook, Matebook, Ultrabook e Netbook HP/Acer/Dell/Lenovo/Sony/Toshiba, con Borsa per Accessori - Grigio	20,99	not prime	4,7 su 5 stelle	/Inateck-Custodia-Chromebook-Ultrabook-Accessori/dp/B08KFZQK6G?dchild=1
35	Lenovo ThinkPad X250 ULTRABOOK - 8 GB RAM - 500GB - MODULO SIM -WINDOWS 10 PROFESSIONAL (Ricondizionato) )	399,99	not prime	4,1 su 5 stelle	/Lenovo-ThinkPad-X250-ULTRABOOK-Ricondizionato/dp/B07NJ2BXDM?dchild=1
36	Babacom Supporto PC Portatile, Alluminio Ventilato Porta Notebook, Raffreddamento Regolabile Porta PC, Leggero Notebook Riser Compatibile con MacBook Air/pro, Huawei Matebook D/Altri 10-15.6” Tablet	18,99	not prime	4,6 su 5 stelle	/Babacom-Portatile-Alluminio-Ergonomico-Regolabile/dp/B07TBR2WYD?dchild=1
37	"ASUS VivoBook S14 M433IA-EB561T, Notebook in alluminio con Monitor 14"" FHD Anti-Glare, AMD Ryzen 7-4700U, RAM 8GB DDR4, 512GB SSD PCIE, Windows 10 Home, Argento"	799,00	prime	4,3 su 5 stelle	/ASUS-VivoBook-M433IA-EB561T-alluminio-Anti-Glare/dp/B08958MZKG?dchild=1
38	Lechnical Computer Portatile Pura P01 da 14 Pollici AMD A9-9420E / 8 GB DDR4 / 256 GB SSD Portatile con Schermo 1920 * 1080 FHD Spina Rosa UE	481,99	not prime	no vote available	/Lechnical-Computer-Portatile-Pollici-A9-9420E/dp/B08KG6D3SM?dchild=1
39	"GIGABYTE Aero 15 OLED WA-7DE5130SP Nero Computer Portatile 39,6 cm (15.6"") 3840 x 2160 Pixel 9th Gen Intel® Core i7 i7-9750H 16 GB DDR4-SDRAM 512 GB SSD Aero 15 OLED WA-7DE5130SP, 9th"	2.139,83	prime	1,0 su 5 stelle	/GIGABYTE-WA-7DE5130SP-Computer-Portatile-DDR4-SDRAM/dp/B07VGLH4K5?dchild=1
40	"MVPower Base Raffreddamento Notebook, Supporto Ventilato e Regolabile per Laptop Altezze Regolabili, con 2 Porte USB e Illuminazione Luce LED Blu, per Laptop da 12"" a 17"" di Pollici"	21,99	not prime	4,3 su 5 stelle	/MVPower-Raffreddamento-Regolabile-Regolabili-Illuminazione/dp/B08L38NXBY?dchild=1
41	"Apple MacBook Air Oro Computer Portatile 33,8 cm (13.3"") 2560 x 1600 Pixel Intel® Core i5 di Decima Generazione 8 GB LPDDR4x-SDRAM 512 GB SSD Wi-Fi 5 (802.11ac) macOS Catalina MacBook Air,"	no price available	not prime	4,6 su 5 stelle	No url Available
42	DELL Optiplex 3040 SFF i5-6400T S8GB 256GB SSD 500gb SATA WIN10PRO HDMI DISPLAY PORT (Ricondizionato Certificato)	299,00	prime	no vote available	/Optiplex-i5-6400T-WIN10PRO-Ricondizionato-Certificato/dp/B08KQ94VPC?dchild=1
43	"MSI Modern 15 A10M-275IT, 15,6"" FHD IPS-Level, Intel Core I5-10210U, 8GB RAM DDR4 2666MHz, 512GB SSD M.2 PCIe, UMA, Win 10 Home [Layout e Garanzia Italiane], Onyx Black (Brushline)"	879,00	prime	3,9 su 5 stelle	/MSI-A10M-275IT-IPS-Level-I5-10210U-Brushline/dp/B08C9YKN1M?dchild=1
44	"ASUS ZenBook PRO UX581LV-H2024T Notebook/Portatile Computer Portatile 39,6 cm (15.6"") 3840 x 2160 Pixel Touch Screen Intel® Core i9 di Decima Generazione 32 GB DDR4-SDRAM 1000 GB NVIDIA® GeForce"	4.057,53	prime	4,0 su 5 stelle	/ASUS-UX581LV-H2024T-Portatile-Generazione-DDR4-SDRAM/dp/B086RDWZSM?dchild=1
45	Creative Pebble V2 - Altoparlanti da scrivania alimentati da USB-C 2.0, ingresso AUX da 3,5 mm, alimentazione RMS fino a 8 W per computer, adattatore di tipo A in dotazione e prolunga (nera)	24,99	not prime	4,7 su 5 stelle	/Creative-Pebble-Altoparlanti-alimentati-alimentazione/dp/B07VVP8BGD?dchild=1
46	Nuovo Apple Mac mini (Processore Intel Core i5 6-core di ottava generazione a 3,0GHz, 8GB RAM, 512GB)	1.299,00	prime	4,8 su 5 stelle	/Apple-Processore-Intel-Core-i5-ottava-generazione/dp/B0863TQP5S?dchild=1
47	Inateck Borsa Porta PC 15.6 Pollici Impermeabile Borsa Messenger Computer Portatile per Donna Uomo Insegnanti Viaggio Lavoro Università Scuola - Grigio	26,56	not prime	5,0 su 5 stelle	/Inateck-Impermeabile-Messenger-Insegnanti-Universit%C3%A0/dp/B08KZKYCKF?dchild=1
0	"MSI PE72 8RD i7-8750H 17.3"" 1920 x 1080Pixel Argento Computer portatile"	no price available	not prime	no vote available	No url Available
1	Dell Optiplex Intel I5-2400 Quad Core I5 8 GB di RAM 240 GB Ssd + HDD da 500 GB Wi-Fi Windows 10 PC da scrivania (Ricondizionato)	181,00	not prime	4,3 su 5 stelle	/Dell-Optiplex-I5-2400-scrivania-Ricondizionato/dp/B07MJRL3V6?dchild=1
2	CHUWI AeroBook Plus Portatile Ultrabook 15.6 Pollici Laptop WIN10 Home Intel Iris Graphics 550 (i5) 8GB RAM 256GB SSD 3840 * 2160 Type c M.2 HD video port WiFi, BT4.2, Grigio	no price available	not prime	4,7 su 5 stelle	No url Available
3	AILIHEN C8 - Cuffie con microfono e controllo del volume, pieghevoli, leggere, per cellulari, tablet, smartphone, computer portatile, PC, MP3/4, colore: Oro rosa	23,98	not prime	4,2 su 5 stelle	/AILIHEN-microfono-controllo-pieghevoli-smartphone/dp/B08GKP5Q2B?dchild=1
4	HuaNuo Supporto con Braccio per Monitor con Vassoio per Laptop, Regolabile Completamente per Schermi LED LCD da 13 a 27 Pollici e Notebook Fino a 15,6 Pollici, 2 Opzioni di Montaggio	54,99	prime	4,6 su 5 stelle	/HuaNuo-Supporto-Regolabile-Completamente-Montaggio/dp/B07DWM9WNM?dchild=1
5	10 Pollici Tablet 4G Android 9.0 2 in 1 Tablet PC, 4GB RAM +64GB ROM 128GB Espansione e Dual SIM Full HD PC, 8000mAh Portatili e Tablet WiFi / GPS / Bluetooth Tablet Con wifi Offerte (Oro) (Rosa)	117,92	prime	3,9 su 5 stelle	/Pollici-Android-Espansione-Portatili-Bluetooth/dp/B08596YFB6?dchild=1
6	GMFIVE Supporto per Laptop in Alluminio Regolabile in Altezza Rotazione a 360° Ergonomica Ventilato Universale Compatibile per Computer Portatile(11-17,3 Pollici) MacBook Pro etc	38,99	prime	4,8 su 5 stelle	/Alluminio-Regolabile-Ergonomica-Universale-Compatibile/dp/B08CV3Z9G3?dchild=1
7	"SAMSUNG Galaxy Book Ion NP930XCJ-K01DE Notebook/Portatile Computer Portatile Argento 33,8 cm (13.3"") 1920 x 1080 Pixel Touch Screen Intel® Core i5 di Decima Generazione 8 GB DDR4-SDRAM 256 GB SSD"	1.481,61	prime	4,0 su 5 stelle	/SAMSUNG-NP930XCJ-K01DE-Portatile-Generazione-DDR4-SDRAM/dp/B0892TVRDS?dchild=1
8	Diablo Guardian - Season 2	no price available	not prime	no vote available	No url Available
9	"Notebook Lenovo Display da 15.6"" Hd intel Celeron N4000 2.60 Ghz,Ram 4Gb DDR4,Ssd M2 256 Gb+ Ssd 120gb,Graphics Intel,Wifi Bluetooth hdmi,usb 3.0 2.0,WebCam,Windows 10 pro,Open Office Portatile"	no price available	not prime	4,0 su 5 stelle	No url Available
10	Looffy Pendrive 3.0 per iphone ipad 128gb, Chiavetta USB 4 in 1 per Telefono Android Tipo C USB C 128gb, Memoria USB per Computer OTG Smartphone Laptop	22,05	not prime	4,2 su 5 stelle	/Looffy-Pendrive-Chiavetta-Telefono-Smartphone/dp/B085ZDQ9DJ?dchild=1
11	Webcam, Webcam per PC fisso, Telecamera per PC con Microfono Full HD HD 1080P, Web cam per Computer in Streaming con Supporto Denoising 3D e Guadagno Automatico	25,99	not prime	4,4 su 5 stelle	/Telecamera-Microfono-Streaming-Denoising-Automatico/dp/B0892RZXTR?dchild=1
12	"HP Pavilion Gaming 17-cd0228ng Nero, Verde Computer portatile 43,9 cm (17.3"") 1920 x 1080 Pixel 2,6 GHz 9th gen Intel® Core™ i7 i7-9750H"	no price available	not prime	4,5 su 5 stelle	No url Available
13	FANCY CHERRY® NUOVO 2017 HD 10 inch Mini Laptop Notebook Netbook Tablet Computer 1G DDR3 4GB di memoria VIA WM8880 CPU Dual Core Android Schermo Wifi Camera Keyboard USB HDMI (Netbook 8G-bianca)	116,00	not prime	3,1 su 5 stelle	/FANCY-Notebook-Computer-Keyboard-8G-bianca/dp/B0711K9GH7?dchild=1
14	PC Computer Desktop Gaming Entry Level Fujitsu Esprimo P720, Windows 10 Professional, Intel Core i5-4570S, Memoria Ram 8GB DDR3, HDD 500GB, DVD-ROM, Radeon RX 550 4GB (Ricondizionato)	269,90	not prime	no vote available	/Computer-Desktop-Professional-i5-4570S-Ricondizionato/dp/B08JZHRPMB?dchild=1
15	CeO-Tech Alpha V4 PC Fisso - CPU INTEL G5420 3.80GHz 4MB Cache | RAM 16GB DDR4 | SSD 500GB | Radeon RX Vega 3 | Ultra HD 4K | Masterizzatore CD/DVD | WI-FI | Windows 10 PRO	449,00	not prime	4,5 su 5 stelle	/CeO-Alpha-Desktop-CPU-J4105-4x2-50GHz-MULTIMEDIALE/dp/B07JMQDSH3?dchild=1
16	PC Computer Desktop HP Compaq 6200, Windows 10 Professional, Intel Core i3-2100, Memoria Ram 4GB DDR3, Hard Disk 250GB, DVD-ROM (Ricondizionato)	85,65	not prime	3,7 su 5 stelle	/Computer-Desktop-HP-Professional-Ricondizionato/dp/B08BBXJ6QC?dchild=1
17	"LENOVO Essential V145 Notebook 15,6"" HD (1366x768) Ram 8GB, SSD 256GB, CPU AMD A4, Radeon R3, WIFI Bluetooth Webcam Win 10 Integrato (256GB SSD)"	no price available	not prime	3,9 su 5 stelle	No url Available
18	"HP OMEN 17-cb1085ng Computer Portatile Nero 43,9 cm (17.3"") 1920 x 1080 Pixel Intel® Core i7 di Decima Generazione 16 GB DDR4-SDRAM 1512 GB HDD+SSD NVIDIA GeForce RTX 2080 Super Wi-Fi 6 (802.11ax)"	3.024,61	prime	4,6 su 5 stelle	/HP-17-cb1085ng-Portatile-Generazione-DDR4-SDRAM/dp/B0895G8FF1?dchild=1
19	Webcam, Webcam per PC fisso, Telecamera per PC Con Microfono Full HD 1080P,Webcam er Computer USB per Videochiamate	23,99	not prime	4,4 su 5 stelle	/Webcam-Telecamera-Microfono-Computer-Videochiamate/dp/B088TM1JFV?dchild=1
20	AmazonBasics - Altoparlanti per computer desktop o PC portatile, alimentazione CA (versione europea)	20,54	not prime	4,4 su 5 stelle	/AmazonBasics-Computer-Speakers-Desktop-AC-Powered/dp/B07D924NF5?dchild=1
21	"Microsoft Surface Laptop 3, 15"", AMD Ryzen 5 3580U, RAM 8 GB, SSD 256 GB, Nero"	1.699,00	prime	4,4 su 5 stelle	/Microsoft-Surface-Laptop-Ryzen-3580U/dp/B07XVTMS3N?dchild=1
22	KLIM Cyclone - Base di Raffreddamento PC Portatile + Laptop Stand con 5 ventole + Il Miglior Supporto Raffreddatore + Cooling Pad Gaming PS4 Xbox One + Bianca + Nuova Versione 2020	36,97	prime	4,4 su 5 stelle	/KLIM-Cyclone-Raffreddamento-Portatile-Raffreddatore/dp/B08BKJRXY2?dchild=1
23	Samsung C27F396 Monitor Curvo per PC, 27'' Full HD, 1920 x 1080, 60 Hz, 4 ms, Freesync, D-sub, HDMI, Nero	134,00	prime	4,6 su 5 stelle	/Samsung-C27F396-Monitor-Desktop-Freesync/dp/B01BCF09R0?dchild=1
24	LABISTS Monitor Portatile 13.3 Pollici, Monitor IPS con Risoluzione 1920 x 1080, Supporta HDMI e USB-C, 16:9 HDR, Adatta a Switch, Laptop, Cellulare, Raspberry Pi, PS3/PS4/XBOX, con Supporto e Cover	178,99	prime	4,6 su 5 stelle	/LABISTS-Monitor-Portatile-Risoluzione-Supporta/dp/B089GNJD9S?dchild=1
25	"MSI All in One PRO 16 Flex 8GL-012XEU, Schermo Touch HD 15.6"", CPU Pentium N5000, SSD M.2 128GB, RAM 4GB, Intel UHD Graphics, Porta RJ45 a COM, Freedos, VESA 100x100"	503,73	not prime	no vote available	/Flex-N5000-128GB-Touch-FREEDOS/dp/B07WTHXPGC?dchild=1
26	NOTEBOOK RICONDIZIONATO ULTRASLIM HP FOLIO 9470M INTEL CORE I5 3427U 1.80GHZ/8GB/SSD 240GB/WEB/WIN 10 PRO (Ricondizionato) )	429,99	not prime	3,6 su 5 stelle	/NOTEBOOK-RICONDIZIONATO-ULTRASLIM-HP-Ricondizionato/dp/B07JM8P2FY?dchild=1
27	Zaino Antifurto Zaino Per PC Portatile,Zaino per Laptop,Zaino Porta PC Impermeabile,Zaino per Computer Portatile 15.6 Pollici, Zaino Uomo con Caricatore USB,Zaino Lavoro Uomo per Scuola Viaggio,Nero	21,56	not prime	4,6 su 5 stelle	/Antifurto-Portatile-Impermeabile-Computer-Caricatore/dp/B07FDLS3NH?dchild=1
28	PC RICONDIZIONATO LENOVO M92P TINY INTEL CORE I5 3470T 2,90 GHZ/8GB/240GB SSD/WIN 10 PRO (Ricondizionato)	219,00	prime	4,3 su 5 stelle	/RICONDIZIONATO-LENOVO-INTEL-3470T-Ricondizionato/dp/B07Q3XJ8MW?dchild=1
29	Hanna - Season 1	no price available	not prime	no vote available	No url Available
30	"HP - Gaming OMEN 15-dh1002nl Notebook, Intel Core i7-10750H, RAM 16 GB, SSD 512 GB, NVIDIA GeForce RTX 2070 8 GB, Windows 10 Home, Schermo 15.6"" FHD IPS 144 Hz, Bang&Olufsen, USB-C, HDMI, RJ-45, Nero"	1.899,00	prime	4,5 su 5 stelle	/HP-15-dh1002nl-Notebook-i7-10750H-GeForce/dp/B08BKSM5MM?dchild=1
31	"DELL Ultrabook XPS 15 7590 Monitor 15,6"" Full HD Intel Core i7-9750H Ram 16 GB SSD 512 GB Nvidia GeForce GTX 1650 4 GB 2xUSB 3.0 Windows 10 Pro"	1.999,00	prime	3,8 su 5 stelle	/Dell-Technologies-XPS-15-7590/dp/B07ZQ98SLW?dchild=1
32	ALLDOCUBE KBook Lite Laptop, notebook da 13,5 pollici, schermo IPS 3000x2000, Intel Apollo Lake N3350 CPU, 4GB RAM 128GB SSD, Windows 10, connettore Tipe C, USB 3.0	269,99	not prime	3,2 su 5 stelle	/ALLDOCUBE-notebook-pollici-m3-6Y30-Ultrabook/dp/B07XJ3X7DC?dchild=1
33	"DELL Latitude 7480 2.8GHz i7-7600U Intel® Core™ i7 di settima generazione 14"" 1920 x 1080Pixel Nero Computer portatile"	no price available	not prime	no vote available	No url Available
34	"DELL Inspiron 5590 Notebook 15,6"" Display FHD 1920 x 1080 Pixels , Intel i5 10° GEN. 4 core , Ram 8 GB , SSD 256 GB , UHD Graphics 2xUSB 3.0 , Windows 10 Pro"	855,00	prime	no vote available	/Inspiron-Notebook-Display-Graphics-Windows/dp/B08LC8SGDF?dchild=1
35	Trust Primo Borsa Trasporto per Laptop da 16 Pollici, Nero	11,99	not prime	4,6 su 5 stelle	/Trust-Primo-Trasporto-Laptop-Pollici/dp/B01JPF5028?dchild=1
36	BMAX X15 Notebook Pc Portatile 15.6 Pollici Intel Gemini Lake N4100 (fino a 2,4 GHz) 8GB RAM + 128GB SSD Windows 10 Laptop Wifi, USB3.0, Wifi, BT 4.2, Telecamera	no price available	not prime	4,3 su 5 stelle	No url Available
37	CeO-Tech Zeta V2 PC Gaming - Ryzen 3 3100 (Zen2) 4 Core 3.90 | RAM 16GB DDR4 | SSD 240GB | GTX 1050TI 4GB | Ultra HD 4K | Wi-Fi | WIN10 PRO *NUOVA COMPOSIZIONE	615,00	not prime	4,6 su 5 stelle	/CeO-Zeta-V2-Gaming-3-20GHz/dp/B07KVGMTG4?dchild=1
38	MODKON Webcam, 1080P HD PC Webcam con Microfono e Cover per Computer Desktop Laptop, Web Camera USB Plug And Play per Youtube Studio Online Chiamata, Videochiamate Conferenza.	22,99	not prime	3,9 su 5 stelle	/MODKON-Microfono-Computer-Videochiamate-Conferenza/dp/B08GQW1598?dchild=1
39	Fujitsu Lifebook T902 - Intel Core i5-3320, 8 GB, 120 GB, SSD, Windows 10 Home, QWERTZ (tastiera tedesca), 13.3 pollice (Ricondizionato)	299,95	prime	3,8 su 5 stelle	/Fujitsu-Lifebook-T902-tastiera-Ricondizionato/dp/B086XJ711S?dchild=1
40	DILC Airo W Pc Desktop Intel Quad Core 2.00 ghz Ram 8 gb Ssd 480 gb WiFi Masterizzatore Licenza Windows 10 PRO	239,90	prime	4,0 su 5 stelle	/COMPUTER-FISSO%E2%96%ACLICENZA-PRO%E2%96%ACASSEMBLATO-QUAD-CORE-1TB%E2%96%ACWIFI%E2%96%ACMASTERIZZATORE%E2%96%ACDILC/dp/B07G4DZ7N6?dchild=1
41	"MSI Gaming GT62VR 7RE(Dominator Pro)-224DE 2.8GHz i7-7700HQ 15.6"" 1920 x 1080Pixel Nero Computer portatile"	427,00	not prime	no vote available	/MSI-Dominator-i7-7700HQ-1080Pixel-portatile/dp/B01N6N3BYC?dchild=1
42	"MacBook 12"" (Intel Core i5 dual-core a 1,3GHz, 512GB) - Oro rosa"	1.510,37	prime	4,2 su 5 stelle	/Apple-MNYN2T-A-Macbook-Intel/dp/B072VSP17K?dchild=1
43	"MSI GP75 Leopard 10SEK-050IT, Notebook Gaming 17,3"" FHD IPS-Level 144Hz, Intel Core I7-10750H, 16GB RAM DDR4, 1TB SSD M.2 PCIE, Nvidia RTX 2060, 6GB GDDR6 [Layout Italiano]"	1.849,00	prime	4,4 su 5 stelle	/MSI-10SEK-050IT-Notebook-IPS-Level-I7-10750H/dp/B086QFJ31Z?dchild=1
44	TMEZON 1080P Full HD Webcam per PC con Microfono Riduzione del Rumore,Messa a Fuoco Automatica,Design Piegato e spostato,Videocamera USB per Skype Conferenza,Videochiamate e Lavoro a Casa	20,99	not prime	4,0 su 5 stelle	/TMEZON-Automatica-Videocamera-Conferenza-Videochiamate/dp/B088FKD6H8?dchild=1
45	HP – PC Envy 13-ba0006nl Notebook, Intel Core i5-1035G1, RAM 8 GB, SSD 512 GB, Grafica Intel UHD, Windows 10 Home, Schermo 13.3” FHD, Lettore impronte digitali, Lettore Micro SD, USB-C, HDMI, Argento	849,99	prime	3,7 su 5 stelle	/HP-13-ba0006nl-Notebook-i5-1035G1-impronte/dp/B086LWC8R9?dchild=1
46	"Notebook Pc Portatile HP 255 G7 Display 15.6"" /Cpu Amd A4 da 2,3ghz A 2,6GHz /Ram 8Gb ddr4 /SSD M2 512GB /Vga Radeon R3 / Hdmi / Masterizzatore Wifi Bluetooth /Licenza Windows 10 pro + Open Office"	no price available	not prime	4,2 su 5 stelle	No url Available
47	Computer HP Elite 8100 i5-650 Ram 8GB HDD 250GB DVD-ROM Windows 10 Pro (Ricondizionato)	119,90	not prime	no vote available	/Computer-HP-DVD-ROM-Windows-Ricondizionato/dp/B08HVGJYV9?dchild=1
